"DPD Table Rates", "DPD Tabel Taxe"
"Table Rates", "Tabel Taxe"
"Enabled", "Activ"
"DPD Country Select", "Selecteaza Tara"
"Production Mode", "Modul Productie"
"Production WS URL", "URL serviciu web [Productie]"
"Test WS URL", "URL serviciu web [Test]"
"Method Title", "Titlul metodei de livrare"
"Method Name", "Numele metodei de livrare"
"Web Service Username", "Utilizator DPD"
"Web Service Password", "Parola DPD"
"Web Service Connection Timeout", "Web Service conexiune Timeout"
"Set a timeout for connecting to the DPD web service in seconds.", "Setati un interval de timp pentru conectarea cu serviciul web DPD."
"E.g. http://egproduction.dpd.com/IT4EMWebServices/eshop/", "Ex. http://egproduction.dpd.com/IT4EMWebServices/eshop/"
"E.g. http://egtest.dpd.com/IT4EMWebServices/eshop/", "Ex. http://egtest.dpd.com/IT4EMWebServices/eshop/"
"Sender Address Id", "Id-ul adresei de expeditie"
"Payer Id", "Id-ul platitorului"
"Service","Serviciu"
"Service PREDICT", "Serviciu PREDICT"
"Select the services that have predict functionality.", "Selecteaza serviciile DPD care au functionalitate de SMS predict"
"Select the services that you want to enable. Note that you must also define the shipping prices for these services in your shipping table rates (see below).", "Selecteaza serviciile DPD de livrare care vor fi active in checkout. Pentru serviciile activate se pot defini intrari in tabela de taxare pentru o flexibilitate mai mare de gestionare a costului de livrare."
"Export Shipping Table Rates", "Export Tabel preturi"
"Import Shipping Table Rates", "Import Tabel preturi"
"DPD GeoPost Pickup Address", "DPD GeoPost - Adresa de ridicare a coletelor"
"Name", "Nume"
"Additional Name", "Nume Aditional"
"Street", "Strada"
"City", "Oras"
"Postcode", "Cod Postal"
"Country", "Tara"
"Telephone", "Telefon"
"Email Address", "Adresa email"
"Cash On Delivery for DPD GeoPost", "Plata la livrare prin DPD - COD"
"Description", "Descriere"
"Surcharge Name", "Nume taxa"
"New order status", "Statusul noii comenzi"
"Payment Type", "Tip plata"
"Payment from Applicable Countries", "Metoda de plata activa pentru tarile"
"Payment from Specific Countries", "Selecteaza tarile"
"The new shipping address for shipments associated with this order have been communicated successfully to DPD.", "O noua adresa de livrare pentru expeditiile asociate cu comanda comunicata catre DPD"
"An error occurred updating the shipping address details with DPD: <br /> ""%1""", "Eroare aparuta la actualizarea datelor de contact de expediere cu DPD.<br /> ""%1"""
"DPD could not update the shipment address. The following error was returned: <br /> ""%1: %1""", "DPD nu a putut actualiza adresa de expediere.Urmatoarea eroare a fost returnata: <br /> ""%1: %1"" "
"An error occurred retrieving the updated shipping labels from DPD. <br />""s%""", "A ap?rut o eroare la preluarea etichetele de expediere actualizate din DPD. <br />""s%"""
"The total length of the address cannot be more than %1 characters.", "Lungimea totala a adresei nu poate fi mai mult de %1  caractere"
"incl. tax", " incl. VAT"
"excl. tax", " excl. VAT"
"Incl. tax", " Incl. VAT"
"Excl. tax", " Excl. VAT"
"(Excl.Tax)", "(Excl. VAT)"
"(Incl.Tax)", "(Incl. VAT)"
"(Excl. Tax)", " (Excl. VAT)"
"(Incl. Tax)", " (Incl. VAT)"
"Cash", "Cash"
"Credit Card", "Credit Card"
"Crossed Check", "Crossed Cheque"
"Free", "Gratis"
"Error obtaining shipping price: %1", "Eroare la pretul expeditiei. <br> %1"
"DPD error: %1", "Eroare DPD: %1"
"Shipping price not available in order currency", "Pretul  expeditiei nu este valabil pentru moneda curenta"
"Could not load the stored tracking information for track %1", "Nu se pot încarca informațiile stocate de urmarire "
"Error loading stored tracking information for track %1", "Eroare la încarcarea informațiilor stocate de urmarire "
"Error calling DPD for track %1", "Eroare solicitare pentru urmarire DPD: %1"
"Error calling DPD for track %1: %1 ", "Eroare solicitare pentru urmarire DPD, %1: %1"
"Export CSV", "Export CSV"
"Manifest", "Borderou"
"DPD Pickup", "Ridicare DPD"
"Region/State", "Region/State"
"Zip/Postal Code", "Cod postal"
"Shipping Price/Percentage", "Pretul expeditiei/Procentaj"
"Please the shipments to include in the closed manifest.", "Va rugam ca expeditiile sa includa borderoul închis."
"Could not include shipment %1 in the manifest because it is not a DPD shipment.", "Livrarea %1 - Nu a putut fi inclusa expeditia în borderou, deoarece nu este facut transferul catre DPD"
"Could not include shipment %1 in the manifest because it was not communicated to DPD.", "Livrarea %1 - Nu a putut fi inclusa expeditia  în borderou deoarece nu a fost comunicata catre DPD"
"Could not include shipment %1 in the manifest because it was cancelled with DPD.", "Nu a putut fi inclusa expeditia  în borderou deoarece nu a fost anulata de DPD"
"Could not include shipment %1 in the manifest because it is already in a manifest.", "Nu a putut fi inclusa expeditia  în borderou deoarece este deja deshisa in alt borderou"
"The shipments you selected come from different stores which have different DPD connection parameters. Please select shipments which belong to stores that use the same DPD connection parameters.", "Expeditile pe care le-ati selectat provin din magazine diferite care au diferiti parametrii de conexiune DPD. Va rugam sa selectați expeditiile care fac parte din magazinele care folosesc aceiași parametrii de conectare DPD."
"Shipment %1 was added to the manifest.", "Expeditia a fost adaugata in borderou"
"An error occurred whilst requesting the manifest from DPD: %1", "A aparut o eroare în timpul solicitarii bordroului de la DPD:  %1"
"An error occurred whilst communicating the manifest details to DPD. DPD says: ""%1""", "A aparut o eroare în timpul  comunicarii detaliilor borderoului la DPD. DPD spune: ""%1"" "
"The manifest was communicated successfully to DPD, but an error occurred whilst saving the manifest details in Magento. <br />Please make a capture of this screen so that you have a record of the shipments included in the manifest. <br />For you reference when communicating with DPD, the manifest details are: <br /> Manifest Reference: %1 <br />Manifest Name: %1 <br />Manifest internal DPD ID: %1 <br />The error message returned was: %1", "Borderoul a fost comunicat cu succes la DPD, dar a aparut o eroare în timp ce se salvau detaliile borderoului in Magento. <br /> Va rugam sa face?i o captura de ecran, astfel incat sa  ave?i o evidența a expedtitiilor, daca o eroare a avut loc în timp ce se salvau detaliile borderoului în Magento. <br /> Referința Manifest:%1 <br /> Numele Manifest:%1 <br /> Borderou ID DPD intern:%1 <br /> mesajul de eroare returnat a fost: %1"
"Close DPD Manifest", "Generare Borderou"
"Once the manifest is closed for the selected shipments you will not be able to make further changes to their shipping addresses. Do you want to continue?", "Once the manifest is closed for the selected shipments, you will not be able to make further changes to their shipping addresses. Do you want to continue?"
"Arrange DPD Pickup", "Ridicare DPD stabilita"
"Date (DD/MM/YYYY)", "Date (DD/MM/YYYY)"
"Between", "Between"
"and", "și"
Instructions,"Instructions"
"DPD Classic", "Persoana Juridica"
"DPD 10:00", "DPD 10:00"
"DPD 12:00", "DPD 12:00"
"DPD B2C", "Persoana Fizica"
"DPD Same Day", "DPD Same Day"
"Your new shipment was successfully communicated to DPD.", "Noua dvs. expeditie a fost transmisa cu succes la DPD"
"DPD says, ""%1""", "Raspuns DPD ""%1"""
"An error occurred communicating the shipment to DPD. The shipping method '%1' is invalid", "A aparut o eroare a transmiterii expeditiei la DPD.Metoda de expediere '%1' nu este valida."
"The shipment could not be communicated to DPD because the shipping street the maximum permitted length of %1 characters. <br />Please edit the shipping address to reduce the length of the street in the shipping address.", "Expeditia nu a putut fi transmisa la DPD deoarece lungimea maxima a strazii de expediere este permisă de %1 caractere. <br /> Modificați adresa de livrare, pentru a reduce lungimea străzii din adresa de livrare."
"An error occurred communicating the shipment to DPD:<br /> ""%1""", "A apărut o eroare de transmitere a expeditiei la DPD:<br /> ""%1"""
"DPD could not process the new shipment. The following error was returned: <br /> ""%1: %2""", "DPD nu poate procesa noua expeditie. Eroare este: <br /> ""%1: %1"""
"Successfully closed manifest %1 for the following shipments. <a href='%2'>Download the manifest</a>.", "Borderoul %1 a fost generat cu success. <a href='%1'>Descarca borderoul</a> "
"An error occurred whilst closing the manifest: %1", "A apărut o eroare în timpul generarii borderoului: %1"
"A problem occurred whilst attempting to download a manifest. No manifest was specified in the request.", "A apărut o problemă în timpul incercarii descărcarii borderoului. Nici un borderou nu a fost selectat?"
"A problem occurred whilst attempting to download the manifest id %1: %1", "A apărut o problemă în timpul descarcarii id-ului boderoului"
"A problem occurred whilst attempting to download the manifest %1. The manifest no longer exists.", "A apărut o problemă in timpul incercarii descarcarii borderoului %1. Borderoul nu mai există"
"An unexpected problem occurred whilst attempting to download the manifest %1. %1", "O problemă neasteptată în timpul inccercarii de descarcare a borderoului. "
"Please select the shipments for which you wish to arrange a pickup.", "Vă rugăm să selectai expeditiile pentru care doriți sa stabiliti ridicare lor."
"Please enter a pickup date in the format DD/MM/YYYY.", "Vă rugăm să introduceți data pentru ridicare în formatul zz/ll/aaaa."
"Please select a from and to time for the pickup.", "Selectați  intervalul de timp ridicarea comenzii."
"You cannot create a pickup because you have not fully specified your pickup address. <br />Please set your pickup address in System->Configuration->Sales->Shipping Settings->DPD GeoPost Pickup Address.", "Nu puteți solicita  o ridicare, deoarece nu aveti specificat pe deplin adresa dumneavoastra de ridicare. <br /> Vă rugăm să setați adresa dumneavoastră de ridicare în System -> Configuration-> DPD GeoPost Pickup Address"
"Unable to load shipment information for this shipment %1.", "Imposibil de încărcat informațiile expediere pentru acest expeditie."
"Your list did not contain any DPD shipments for which to arrange a pickup.", "Lista dvs. nu conține nici o expeditie DPD pentru care puteti solicita o ridicare."
"A problem occurred whilst communicating your shipment to DPD. <br />""%1""", "A apărut o problemă în timp ce se trimitea expeditia catre DPD"
"DPD reported an error whilst attempting to arrange your pickup. <br />DPD says", "DPD a raportat o eroare în timp ce se încerca o solicitare de ridicare."
"Invalid Table Rates File Format", "Formatul Tabelului de preturi invalid"
"An error occurred while import table rates.", "Eroare aparuta in timpul importului tabelului de preturi."
"%1$d records have been imported. See the following list of errors for each record that has not been imported: %2$s", "%1$d inregistrări au fost importate. Vezi următoarea listă de erori pentru fiecare înregistrare care nu a fost importat %2$s"
"Invalid Table Rates format in the Row #%1", "Format incorect in randul #%1 pretului din tabel"
"Invalid Country ""%1""in the Row #%1.", "Tara Gresita ""%1"" pe randul #%1."
"Invalid Region/State ""%1""in the Row #%1.", "Regiune ""%1"" Gresita pe randul #%1."
"Invalid weight/price ""%1""in the Row #%1.", "Greutate/pret ""%1"" Gresita pe randul #%1."
"Invalid price/percentage ""%1""in the Row #%1.", "Pret/procentaj ""%1"" Gresit pe randul #%1."
"Invalid service ""%1""in the Row #%1.", "Serviciu ""%1"" Gresit pe randul #%1 "
"Invalid COD Surcharge ""%1""in the Row #%1.", "Taxa Plata ramburs ""%1"" invalida pe randul #%1."
"Invalid value Price vs Dest value ""%1""in the Row #%1. The value should be 0 (Weight vs Dest) or 1 (Price vs Dest).", "Valoarea invalidă Preț vs Dest ""%1"" în rândul #%1. Valoarea trebuie să fie 0 (greutate vs Dest) sau 1 (Preț vs Dest)"
"Duplicate Row #%1 (Country ""%1""Region/State ""%1"" Zip ""%1""Weight/Price ""%1"" Method ""%1"" Price vs Dest ""%1"").", "Duplicat rând #%1 (Tara %1, Regiunea/statul %1, Cod postal %1, Greutate / Preț %1, Metoda %1, Preț vs Dest %1)"
"Once the manifest is closed  you will not be able to make further changes to the shipping address. Do you want to continue?", "Odată ce manifestul este închis, nu se vor putea face modificări suplimentare la adresa de livrare. Vrei să continuați? "
"Print Manifest", "Printarea Borderoului"
"Close Manifest", "Generare Borderou"
"-- Please select an option --", "-- Selecteaza o optiune --"
"Other (enter web service URLs manually)", "Alta (introdu URL-ul serviciului DPD manual)"
"Carrier", "Transportator"
"Title", "Titlu"
"Number", "Numar"
"Label", "Eticheta"
"Action", "Action"
"Delete", "Delete"
"Taking this action will cancel the shipment with DPD. Are you sure you want to continue?", "Actionand veti anula expeditia cu DPD. Sunteti sigur ca doriti sa continuati?"
"Are you sure?", "Sunteti sigur ?"
"The country you have selected does not have a web service URL for production mode. Please ensure you have selected the correct country,  or select 'Other (enter web service URLs manually)' to enter a specific URL.", "Tara aleasă de dvs. nu are  un servici web URL pentru modul de producție. Vă rugăm să vă asigurați că ați selectat țara corectț sau selectați Altele(introduceti un serviciu web URL manual ) pentru a introduce un URL valid."
"The country you have selected does not have a web service URL for test mode. Please ensure you have selected the correct country,  or select 'Other (enter web service URLs manually)' to enter a specific URL.", "Tara aleasă de dvs. nu are  un servici web URL pentru modul de test. Vă rugăm să vă asigurați că ați selectat țara corectă sau selectați Altele(introduceti un serviciu web URL manual ) pentru a introduce un URL valid."
"An error occurred communicating the shipment to DPD at %1:<br /> '%2'", "Eroare de comunicare aparuta la transferul catre DPD"
"Auto-correct the user postcode in checkout", "Corecteaza automat codul postal in checkout"
"Use this option to allow DPD shipment method even if the postcode is not valid. The post code will be automatically generated considering the city,  region and street. In some cases the administrator will have to manually validate the postcode.", "Prin  activarea optiunii se permite extensiei DPD de livrare sa genereze automat codul postal, folosind adresa introdusa de catre client si corectarea/validarea codului postal introdus de client."
"Destination Country", "Tara destinatie"
"Dest Region/State", "Regiunea/Statul dest."
"Destination Zip/Postal Code", "Cod postal dest."
"Dest Zip/Postal Code", "Cod postal dest."
"Weight (and above)", "Greutate (si mai mare)"
"Price (and above)", "Pret (si mai mare)"
"Shipping Price", "Pret de livrare"
"Shipping Price %", "Pret de livrare %"
"Addition Price", "Pret aditional"
"COD Surcharge", "Taxa COD"
"COD Surcharge %", "Taxa COD %"
"COD Min. Surcharge", "Taxa minima COD"
"Import Rates", "Importa tabel taxare"
"Export Rates", "Exporta tabel taxare"
"Dest Country", "Tara dest."
"For rates with this service to be available  you must enable the service from the configuration panel of the shipping method in System->Configuration->Shipping Methods", "For rates with this service to be available  you must enable the service from the configuration panel of the shipping method in System->Configuration->Shipping Methods"
"Price vs. Destination", "Price vs. Destination"
"Weight vs. Destination", "Weight vs. Destination"
"Enter the starting price for this rate in the base currency of website. This rate will apply to orders whose subtotal (excluding shipping) is greater or equal to this price. Only include the sales tax/VAT in this price if you have configured shipping prices to include it (see System->Configuration->Sales->Tax->Calulation Settings->Shipping Prices).", "Introduceți prețul de pornire pentru această rată în moneda de baza a site-ului. Această rată se va aplica la comenzi ale căror subtotal (cu excepia de expediere) este mai mare sau egal cu acest preț. Includ numai pentru vânzările de impozitare / TVA în acest preț dacă ați configurat prețurile de livrare să-l includă (a se vedea System->Configuration->Sales->Tax->Calulation Settings->Shipping Prices)."
"Enable Shipping Method", "Permite medoda de expditie"
"Payment amount type", "Tip valoare plata"
"Payment amount", "Suma de plata"
"Order #","Comanda"
"Purchased On", "Cumpărate de pe"
"Ship to Name", "Ship to Name"
"Order total", "Comanda totala"
"Shipping Price", "Pretul Expeditiei"
"Total Shipping", "Raport de transport"
Cost,Cost
"Shipping Profit/Loss", "Expeditie Profit / Pierdere"
"Shipping settings", "Setari livrare"
"Sender settings", "Setari expeditor"
"Payment settings", "Setari plata"
"Report price vs cost", "Raport pret vs cost"
"DPD carrier", "Livrare DPD"
"Choose the type of charge percentage of order amount or fixed price in case table rates is not defined for DPD shipping method.", "Alege tipul de valoare: valoare fixa sau valoare procentuala din valoarea produselor comandate."
"Fixed amount", "Valoare fixa"
"Percentage of entire order", "Procent din valoarea produselor comandate"
"Payment amount", "Valoare plata"
"This amount will be used to charge the customer if no records is loaded into table rates", "Valoarea care va fi folosita la taxarea clientului, daca nu se regasesc inregistrari in tabelul de taxare. Aceasta valoare poate fi procentuala sau fixa in functie de optiune alesa la punctul [Tip valoare plata]"
"Select how customers will pay the courier.", "Selecteaza cum va plati clientul curierilor."
"Add Fixed amount", "Adaos pret fix"
"Total Shipping Charges", "Total taxa de livrare"
"DPD Classic", "DPD Persoana Juridica"
"DPD B2C", "DPD Persoana Fizica"
"The postcode (%1) submitted by your customer is not valid post code. Do you want to edit the address? (This may be a valid postcode %1 )","Codul postal (%1) introdus de client nu este valid. Vreti sa editati adresa si sa generati automat un cod postal? Un posibil cod postal este: %1"
"DPD - search postcode","Cauta cod postal"
"DPD shipping carrier detected an other postcode for current address: %1. You can validate this postcode before scheduling deliveries by clicking the edit button.","Extensia DPD de transport a detectat un alt cod postal pentru adresa curenta: %1. Puteti valida/modifica acest cod postal inainte de programarea livrarii prin apaseara butonului ""Edit"" "
"DPD shipping carrier requirements: The length of address provided by your customer is too long. Please provide a maximum 70 characters length address (street field).","Cerinte serviciu DPD: Adresa de livrare a acestei comenzi este prea lunga. Lungimea maxima a campului adresa(strada) este 70 de caractere. Recomandam sa editati adresa apasand butonul edit."
"No results available","Nu s-au gasit rezultate"
"Table Rates", "Tabel de Preturi"
"Table Rates", "Tabel de Preturi"
"Save", "Salvare"
"Delete", "Stergere"
"Duplicate", "Duplicate"
"Save And Continue Edit", "Galveaza si continua editarea"
"Weight (and above)", "Weight (and above)"
"Price (and above)", "Price (and above)"
"Shipping Price", "Pretul Expeditiei"
"Shipping Percentage", "Procentajul Expeditiei"
"Fixed Cash On Delivery Surcharge Amount", "Taxa numerar fixa a platei la livrare "
"Minimum COD Surcharge", "Taxa minima a platei la livrare"
"Edit Rate", "Modifica Regula"
"Export", "Export"
"Website", "Website"
"Dest Country", "Dest Tara"
"Dest Zip/Postal Code", "Dest Zip/Postal Code"
"* or blank - matches any", "* sau gol - pentru toate valorile"
"For rates with this service to be available  you must enable the service from the configuration panel of the shipping method in System->Configuration->Shipping Methods", "Pentru preturi acest serviciu pentru a fi disponibil, trebuie să activați serviciul din panoul de configurare a metodei de expediere System->Configuration->Shipping Methods"
"For rates with this product to be available, you must enable the product from the configuration panel of the shipping method in System->Configuration->Shipping Methods", "Pentru preturi acest serviciu pentru a fi disponibil, trebuie să activați serviciul din panoul de configurare a metodei de expediere System->Configuration->Shipping Methods"
"Condition", "Conditie"
"Price vs. Destination", "Pret vs. Destinatie"
"Weight vs. Destination", "Greutate vs. Destinatie"
"Enable Shipping Method", "Activeaza Metoda Livrare"
"Disabled", "Inactiv"
"Enabled", "Activ"
"Disable the shipping method if you would like it to be unavailable for orders whose price or weight is greater or equal to the value you have indicated.", "Dezactiveaza metoda de plata pentru comenzi care au pretul sau greutatea mai mare decat valoarea selectata anterior."
"Shipping Price Calculation", "Calcularea pretului de livrare"
"Fixed Price", "Pret fix"
"Add Percentage", "Adaos procentual"
"Use 'Add Percentage' if you want to calculate the shipping price by adding a percentage to price charged by the shipping carrier.", "Folositi o valoare fixa de taxare,  un adaos procentual fata de valoarea returnata de DPD sau un adaos absolut fata de valoarea returnata de serviciul DPD."
"Shipping Price", "Pret livrare"
"Cash On Delivery Surcharge Calculation", "Taxa plata la livrare"
"Cash On Delivery Not Available", "Plata la livrare dezactivata"
"Zero Surcharge", "Pret zero"
"Fixed Surcharge", "Taxa valoare fixa"
"Percentage Surcharge", "Adaos porcentual"
"Fixed Cash On Delivery Surcharge", "Taxa fixa pentru plata la livrare"
"Minimum COD Surcharge", "Taxa minima pentru plata la livrare"
"Optionally specify the minimum COD surcharge.", "Taxa minima specificata optionala pentru plata la livrare"
"Dest Region/State", "Dest Judet"
"Import Rates", "Import preturi"
"Are you sure?", "Esti sigur?"
"Import", "Import"
"Promotion", "Promotion"
"Import Rates", "Importa Reguli"
"Export Rates", "Exporta Reguli"
"Rate duplicated successfully", "Tarifele dublate cu succes"
"Rate was successfully saved", "Tariful au fost salvate cu succes"
"The rate could not be saved because it duplicates the destination service/product and weight/price of an existing rate. Change some of the rate's values and try saving again.", "Tariful nu a putut fi salvata, întrucât este duplicat destinația serviciului / produs și greutate / prețul unei tari existente. Schimbati câteva dintre valorile tarifale și încercați să salvați din nou. "
"Unable to find rate to save", "Imposibil de a găsi tariful pentru a salva"
"Rate was successfully deleted", "Tariful a fost sters cu succes"
"Total of %1 record(s) have been deleted.", "Numărul total de înregistrări care au fost șterse: %1."
"An error occurred while updating records.", "A apărut o eroare în timp ce se  actualizau inregistrarile"
"Please specify the website and file you wish to import", "Vă rugăm să specificați site-ul și fișierul pe care doriți să-l importați"
"An error occurred whilst importing the tablerates: %1", "A apărut o eroare în timp ce se importa tabela de preturi"
"Table rates imported successfully", "Tabelul de preturi a fost importat cu succes"
"Please specify the website whose rates you want to export", "Vă rugăm să specificați site-ul, unde doriti sa exportati aceste tarife"
"Add Rate", "Adauga Regula"
"Cash On Delivery Surcharge Percentage", "Taxa procentuala COD - din valoarea comenzii"
"Enter the starting weight in kg for this rate.", "Introdu greutatea minima in KG pentru care aceasta regula este activa."
"Enter the starting price for this rate in the base currency of website. This rate will apply to orders whose subtotal (excluding shipping) is greater or equal to this price. Only include the sales tax/VAT in this price if you have configured shipping prices to include it (see System->Configuration->Sales->Tax->Calulation Settings->Shipping Prices).", "Introduceți prețul de pornire pentru această tabela de preturi în moneda de baza a site-ului. Această rată se va aplica la comenzi ale căror subtotal (cu excepția de expediere) este mai mare sau egal cu acest preț. Includ numai pentru vânzările de impozitare / TVA în acest preț dacă ați configurat prețurile de livrare să-l includă (a se vedea System->Configuration->Sales->Tax->Calulation Settings->Shipping Prices)."
"Add Rule", "Adauga Regula"
"Import", "Importa"
"Export", "Exporta"
"New Rate", "Regula noua"
"Condition", "Conditie"
"Add fixed amount to price","Adaos valoare fixa la valoare DPD"
"Print Shipping Labels", "Genereaza etichete expeditie"
"Track Order", "Urmareste comanda"
"PDF Packingslips", "PDF Packingslips"
"Print Shipping Labels", "Printeaza etichete expeditie"
"Close DPD Manifest", "Genereaza borderou"
"Manifest","Borderou"
